Date,Market_Level
2001-08-29,16416.5
2001-08-30,16296.2
2001-08-31,16061.6
2001-09-03,16063.0
2001-09-04,16132.0
2001-09-05,16141.6
2001-09-06,16028.0
2001-09-07,15883.5
2001-09-10,15930.9
2001-09-11,15928.9
2001-09-12,15273.3
2001-09-13,15363.8
2001-09-14,15239.4
2001-09-17,14548.0
2001-09-18,14818.0
2001-09-19,14940.1
2001-09-20,14685.1
2001-09-21,14483.8
2001-09-24,14407.6
2001-09-25,14596.3
2001-09-26,14738.7
2001-09-27,14786.3
2001-09-28,15027.4
2001-10-01,15270.7
2001-10-02,15477.1
2001-10-03,15412.8
2001-10-04,15436.3
2001-10-05,15680.4
2001-10-08,15487.7
2001-10-09,15553.2
2001-10-10,15474.2
2001-10-11,15784.2
2001-10-12,15912.2
2001-10-15,15783.9
2001-10-16,15841.8
2001-10-17,15975.7
2001-10-18,15787.1
2001-10-19,15667.7
2001-10-22,15690.6
2001-10-23,15854.7
2001-10-24,16016.5
2001-10-25,16062.4
2001-10-26,16170.9
2001-10-29,16071.9
2001-10-30,16055.2
2001-10-31,16039.8
2001-11-01,16051.1
2001-11-02,16008.3
2001-11-05,15938.5
2001-11-06,16231.6
2001-11-07,16071.2
2001-11-08,16154.1
2001-11-09,16236.7
2001-11-12,16345.4
2001-11-13,16277.7
2001-11-14,16500.5
2001-11-15,16539.5
2001-11-16,16429.8
2001-11-19,16504.9
2001-11-20,16610.0
2001-11-21,16527.0
2001-11-22,16481.7
2001-11-23,16524.8
2001-11-26,16610.0
2001-11-27,16648.7
2001-11-28,16635.7
2001-11-29,16518.0
2001-11-30,16558.5
2001-12-03,16515.8
2001-12-04,16494.0
2001-12-05,16609.9
2001-12-06,16634.5
2001-12-07,16729.0
2001-12-10,16674.0
2001-12-11,16668.7
2001-12-12,16482.8
2001-12-13,16435.1
2001-12-14,16328.9
2001-12-17,16322.9
2001-12-18,16476.3
2001-12-19,16494.2
2001-12-20,16592.9
2001-12-21,16761.9
2001-12-24,16839.3
2001-12-27,16976.2
2001-12-28,17023.4
2001-12-31,16999.6
2002-01-02,17115.5
2002-01-03,16986.2
2002-01-04,17066.1
2002-01-07,17121.8
2002-01-08,17002.8
2002-01-09,16950.7
2002-01-10,16934.0
2002-01-11,16976.3
2002-01-14,16925.0
2002-01-15,16919.7
2002-01-16,17016.7
2002-01-17,16854.6
2002-01-18,16824.3
2002-01-21,16890.3
2002-01-22,16995.4
2002-01-23,16998.3
2002-01-24,17041.7
2002-01-25,17099.5
2002-01-29,17152.3
2002-01-30,17055.8
2002-01-31,17208.2
2002-02-01,17115.2
2002-02-04,17221.4
2002-02-05,17149.0
2002-02-06,17014.8
2002-02-07,16965.3
2002-02-08,17146.4
2002-02-11,17281.8
2002-02-12,17304.8
2002-02-13,17272.9
2002-02-14,17334.5
2002-02-15,17301.4
2002-02-18,17268.9
2002-02-19,17277.3
2002-02-20,17114.5
2002-02-21,17098.2
2002-02-22,17037.2
2002-02-25,17043.1
2002-02-26,17104.6
2002-02-27,16998.8
2002-02-28,17007.0
2002-03-01,17024.2
2002-03-04,17082.6
2002-03-05,17143.0
2002-03-06,17234.9
2002-03-07,17467.5
2002-03-08,17411.8
2002-03-11,17370.0
2002-03-12,17297.3
2002-03-13,17236.5
2002-03-14,17246.2
2002-03-15,17025.5
2002-03-18,17277.4
2002-03-19,17315.9
2002-03-20,17351.4
2002-03-21,17197.3
2002-03-22,17203.7
2002-03-25,17159.5
2002-03-26,16960.8
2002-03-27,17099.9
2002-03-28,17117.5
2002-04-02,16980.3
2002-04-03,16933.4
2002-04-04,16910.3
2002-04-05,16998.0
2002-04-08,16997.3
2002-04-09,16869.1
2002-04-10,16939.4
2002-04-11,16889.6
2002-04-12,16825.5
2002-04-15,16893.3
2002-04-16,16986.6
2002-04-17,17060.9
2002-04-18,17091.7
2002-04-19,17098.2
2002-04-22,17129.5
2002-04-23,17080.5
2002-04-24,16928.3
2002-04-26,16957.2
2002-04-29,16825.3
2002-04-30,16811.2
2002-05-01,16863.3
2002-05-02,16872.9
2002-05-03,16891.6
2002-05-06,16790.8
2002-05-07,16688.4
2002-05-08,16763.0
2002-05-09,16756.2
2002-05-10,16717.8
2002-05-13,16575.2
2002-05-14,16634.4
2002-05-15,16944.8
2002-05-16,17041.4
2002-05-17,17143.0
2002-05-20,17046.3
2002-05-21,16965.6
2002-05-22,17030.4
2002-05-23,16948.8
2002-05-24,17017.0
2002-05-27,16990.4
2002-05-28,17011.8
2002-05-29,16988.4
2002-05-30,17018.1
2002-05-31,16953.6
2002-06-03,16979.6
2002-06-04,16836.4
2002-06-05,16852.4
2002-06-06,16838.0
2002-06-07,16860.6
2002-06-11,16788.4
2002-06-12,16790.0
2002-06-13,16717.7
2002-06-14,16619.8
2002-06-17,16647.6
2002-06-18,16709.8
