Period,Bank,Alpha,Alpha_t_stat,Alpha_p_value,Beta,Beta_t_stat,Beta_p_value,Beta_CI_95_Lower,Beta_CI_95_Upper,R_Squared,N_Observations
GFC,CBA,0.0006441013262646624,0.6283652232391976,0.530144189617783,1.0369096338563362,19.410757880804724,1.0018481907483141e-58,0.9318733662739127,1.1419459014387596,0.4991901729596183,380
GFC,NAB,0.0004884609129804996,0.4424597730231809,0.6584095970134969,1.2141359646709113,21.103521660943766,6.9984749995312e-66,1.1010123553636488,1.3272595739781738,0.5409047918649701,380
GFC,WBC,0.0009610662890686351,0.9493128708706953,0.34306804338186725,1.1094272502135762,21.02802523217826,1.4568761339653137e-65,1.0056884541750433,1.2131660462521092,0.5391243469592897,380
GFC,ANZ,0.0006133993683837111,0.543923591488076,0.5868147196368693,1.215557987711437,20.683016964108376,4.1658284513132416e-64,1.0999992851279152,1.331116690294959,0.5308935109107535,380
GFC,MQG,0.0007805900763891321,0.40154765486618876,0.6882438785407294,1.7075605132047214,16.855195985338593,6.120856171166905e-48,1.5083633448500473,1.9067576815593954,0.42908721931678695,380
COVID,CBA,0.00028753787351140224,0.4939388352255342,0.6216646109294502,1.1882450456460627,33.671562685808944,6.396930990805188e-111,1.1188351333915596,1.2576549579005658,0.7672174710910057,346
COVID,NAB,-7.552364169812023e-05,-0.10059929067900664,0.9199271645188223,1.2476869120789496,27.415537078708038,1.519540783790045e-88,1.158173602067064,1.337200222090835,0.6860201398188227,346
COVID,WBC,1.1237280040493322e-05,0.014275795644898946,0.9886182256995577,1.240397132596141,25.9943531991201,3.567749712705353e-83,1.1465414670949723,1.3342527980973096,0.6626479929972633,346
COVID,ANZ,0.0002128326102596947,0.27384201767958255,0.784370383763841,1.3352081160245162,28.339358917978462,5.566741457620813e-92,1.2425384287479637,1.4278778033010686,0.7001183653425379,346
COVID,MQG,0.00017644607249131032,0.22090244758855399,0.8252994465774213,1.264644989814066,26.11778264072307,1.2078118045162463e-83,1.169406811433108,1.3598831681950239,0.6647626256001804,346
Rate Hikes,CBA,8.187532421452552e-05,0.1943235272845827,0.8460253251608855,0.9127471614709767,18.484474334533147,5.02122364488746e-55,0.8156598543936091,1.0098344685483442,0.4708380732303805,386
Rate Hikes,NAB,-6.999554012859267e-05,-0.14785391319429828,0.88253566398097,0.9518933138100503,17.156748764213315,2.1942897247397802e-49,0.8428064758495051,1.0609801517705955,0.43392390394950164,386
Rate Hikes,WBC,-7.201298879238078e-05,-0.14535568940854313,0.8845063134675332,0.8958441802030453,15.429005616885826,3.916021693649311e-42,0.7816842727062017,1.010004087699889,0.38269046144775043,386
Rate Hikes,ANZ,7.008237882453013e-05,0.1542203958397406,0.8775169806252934,0.9266018794506837,17.398444283534115,2.077594826480678e-50,0.8218885837212464,1.031315175180121,0.44080861921002845,386
Rate Hikes,MQG,-0.00039988775020065065,-0.781725476332787,0.434857644003318,1.4148096359230347,23.59926274147684,9.808761347634458e-77,1.296935467417966,1.5326838044281033,0.5918910459537531,386
