"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2025","104,814.55","104,814.55","104,814.55","104,814.55","","1.04%"
"31/03/2025","103,733.50","103,733.50","103,733.50","103,733.50","","-1.74%"
"28/03/2025","105,566.37","105,566.37","105,566.37","105,566.37","","0.17%"
"27/03/2025","105,388.46","105,388.46","105,388.46","105,388.46","","0.34%"
"25/03/2025","105,032.20","105,032.20","105,032.20","105,032.20","","0.16%"
"21/03/2025","104,868.67","104,868.67","104,868.67","104,868.67","","0.16%"
"20/03/2025","104,705.51","104,705.51","104,705.51","104,705.51","","0.76%"
"18/03/2025","103,913.42","103,913.42","103,913.42","103,913.42","","0.92%"
"14/03/2025","102,966.45","102,966.45","102,966.45","102,966.45","","0.53%"
"13/03/2025","102,421.44","102,421.44","102,421.44","102,421.44","","-2.63%"
"10/03/2025","105,192.02","105,192.02","105,192.02","105,192.02","","0.23%"
"07/03/2025","104,951.91","104,951.91","104,951.91","104,951.91","","-1.80%"
"06/03/2025","106,875.87","106,875.87","106,875.87","106,875.87","","-0.25%"
"05/03/2025","107,143.18","107,143.18","107,143.18","107,143.18","","-0.58%"
"04/03/2025","107,772.30","107,772.30","107,772.30","107,772.30","","-0.54%"
"03/03/2025","108,354.41","108,354.41","108,354.41","108,354.41","","0.91%"
"28/02/2025","107,375.83","107,375.83","107,375.83","107,375.83","","-1.15%"
"27/02/2025","108,628.86","108,628.86","108,628.86","108,628.86","","0.35%"
"26/02/2025","108,254.12","108,254.12","108,254.12","108,254.12","","-0.04%"
"25/02/2025","108,296.55","108,296.55","108,296.55","108,296.55","","-0.61%"
"24/02/2025","108,965.62","108,965.62","108,965.62","108,965.62","","0.18%"
"21/02/2025","108,774.52","108,774.52","108,774.52","108,774.52","","-0.30%"
"20/02/2025","109,105.21","109,105.21","109,105.21","109,105.21","","-1.14%"
"19/02/2025","110,360.20","110,360.20","110,360.20","110,360.20","","-0.58%"
"18/02/2025","111,003.62","111,003.62","111,003.62","111,003.62","","-0.64%"
"17/02/2025","111,714.20","111,714.20","111,714.20","111,714.20","","-0.20%"
"14/02/2025","111,935.86","111,935.86","111,935.86","111,935.86","","0.19%"
"13/02/2025","111,726.20","111,726.20","111,726.20","111,726.20","","0.07%"
"12/02/2025","111,645.14","111,645.14","111,645.14","111,645.14","","0.61%"
"11/02/2025","110,972.49","110,972.49","110,972.49","110,972.49","","0.01%"
"10/02/2025","110,956.51","110,956.51","110,956.51","110,956.51","","-0.34%"
"07/02/2025","111,331.27","111,331.27","111,331.27","111,331.27","","-0.11%"
"06/02/2025","111,452.62","111,452.62","111,452.62","111,452.62","","1.23%"
"05/02/2025","110,094.34","110,094.34","110,094.34","110,094.34","","0.51%"
"04/02/2025","109,533.35","109,533.35","109,533.35","109,533.35","","-0.06%"
"03/02/2025","109,603.75","109,603.75","109,603.75","109,603.75","","-1.79%"
"31/01/2025","111,604.26","111,604.26","111,604.26","111,604.26","","0.45%"
"30/01/2025","111,099.32","111,099.32","111,099.32","111,099.32","","0.55%"
"29/01/2025","110,488.67","110,488.67","110,488.67","110,488.67","","0.57%"
"28/01/2025","109,861.64","109,861.64","109,861.64","109,861.64","","-0.12%"
"24/01/2025","109,989.74","109,989.74","109,989.74","109,989.74","","0.36%"
