"Date","Price","Open","High","Low","Vol.","Change %"
"28/05/2021","81,300.69","81,300.69","81,300.69","81,300.69","","1.20%"
"27/05/2021","80,335.66","80,335.66","80,335.66","80,335.66","","0.03%"
"26/05/2021","80,309.08","80,309.08","80,309.08","80,309.08","","-0.32%"
"25/05/2021","80,565.68","80,565.68","80,565.68","80,565.68","","0.99%"
"24/05/2021","79,776.55","79,776.55","79,776.55","79,776.55","","0.22%"
"21/05/2021","79,597.79","79,597.79","79,597.79","79,597.79","","0.15%"
"20/05/2021","79,476.74","79,476.74","79,476.74","79,476.74","","1.27%"
"19/05/2021","78,477.98","78,477.98","78,477.98","78,477.98","","-1.90%"
"18/05/2021","79,998.69","7,065.98","7,065.98","7,065.98","","0.60%"
"17/05/2021","79,518.45","79,518.45","79,518.45","79,518.45","","0.19%"
"14/05/2021","79,366.96","79,366.96","79,366.96","79,366.96","","0.45%"
"13/05/2021","79,010.30","79,010.30","79,010.30","79,010.30","","-0.67%"
"12/05/2021","79,544.60","79,544.60","79,544.60","79,544.60","","-0.73%"
"11/05/2021","80,132.14","80,132.14","80,132.14","80,132.14","","-1.06%"
"10/05/2021","80,988.38","80,988.38","80,988.38","80,988.38","","1.40%"
"07/05/2021","79,870.17","79,870.17","79,870.17","79,870.17","","0.27%"
"06/05/2021","79,654.34","79,654.34","79,654.34","79,654.34","","-0.48%"
"05/05/2021","80,039.23","80,039.23","80,039.23","80,039.23","","0.40%"
"04/05/2021","79,719.48","79,719.48","79,719.48","79,719.48","","0.56%"
"03/05/2021","79,278.95","79,278.95","79,278.95","79,278.95","","0.04%"
"30/04/2021","79,245.34","79,245.34","79,245.34","79,245.34","","-0.80%"
"29/04/2021","79,882.20","79,882.20","79,882.20","79,882.20","","0.25%"
"28/04/2021","79,683.54","79,683.54","79,683.54","79,683.54","","0.44%"
"27/04/2021","79,335.72","79,335.72","79,335.72","79,335.72","","-0.17%"
"26/04/2021","79,468.00","79,468.00","79,468.00","79,468.00","","-0.21%"
"23/04/2021","79,638.86","79,638.86","79,638.86","79,638.86","","0.07%"
"22/04/2021","79,579.56","79,579.56","79,579.56","79,579.56","","0.83%"
"21/04/2021","78,925.75","78,925.75","78,925.75","78,925.75","","-0.29%"
"20/04/2021","79,153.21","79,153.21","79,153.21","79,153.21","","-0.68%"
"19/04/2021","79,693.16","79,693.16","79,693.16","79,693.16","","0.03%"
"16/04/2021","79,668.54","79,668.54","79,668.54","79,668.54","","0.07%"
"15/04/2021","79,610.44","79,610.44","79,610.44","79,610.44","","0.51%"
"14/04/2021","79,209.78","79,209.78","79,209.78","79,209.78","","0.66%"
"13/04/2021","78,688.98","78,688.98","78,688.98","78,688.98","","0.04%"
"12/04/2021","78,655.52","78,655.52","78,655.52","78,655.52","","-0.30%"
"09/04/2021","78,894.12","78,894.12","78,894.12","78,894.12","","-0.05%"
"08/04/2021","78,934.66","78,934.66","78,934.66","78,934.66","","1.02%"
"07/04/2021","78,135.85","78,135.85","78,135.85","78,135.85","","0.61%"
"06/04/2021","77,659.34","77,659.34","77,659.34","77,659.34","","0.84%"
"01/04/2021","77,014.58","77,014.58","77,014.58","77,014.58","","0.56%"
"31/03/2021","76,585.70","76,585.70","76,585.70","76,585.70","","0.78%"
"30/03/2021","75,989.57","75,989.57","75,989.57","75,989.57","","-0.89%"
"29/03/2021","76,669.38","76,669.38","76,669.38","76,669.38","","-0.36%"
"26/03/2021","76,947.61","76,947.61","76,947.61","76,947.61","","0.50%"
